"xtmp","power_x","power_x_l","power_x_u","power_x_cl","power_x_cu","precision_x","precision_x_l","precision_x_u","precision_x_cl","precision_x_cu","no_clusters_x","no_clusters_l","no_clusters_u","no_clusters_cl","no_clusters_cu"
1,0.0172705035676968,0.0172705035676968,0.0172705035676968,0.0172704599080681,0.0172705472284678,652.332449682347,652.332449682347,652.332449682347,652.322011695121,652.342888003621,6,6,6,6,6
2,0.0196608805716839,0.0196608805716839,0.0196608805716839,0.0196607426748658,0.0196610184759429,1304.63880450102,1304.63880450102,1304.63880450102,1304.59705489028,1304.68055678397,6,6,6,6,6
3,0.0216804243245494,0.0216804243245494,0.0216804243245494,0.0216801491306035,0.0216806995412623,1956.91906602176,1956.91906602176,1956.91906602176,1956.82513465804,1957.01300640368,6,6,6,6,6
4,0.0235165290979602,0.0235165290979602,0.0235165290979602,0.0235160753732015,0.0235169828736449,2609.17323581021,2609.17323581021,2609.17323581021,2609.00625607022,2609.34023692539,6,6,6,6,6
5,0.0252408638184155,0.0252408638184155,0.0252408638184155,0.0252401909357781,0.0252415367968374,3261.40131543186,3261.40131543186,3261.40131543186,3261.14042419793,3261.66224841174,6,6,6,6,6
6,0.0268897269966224,0.0268897269966224,0.0268897269966224,0.0268887944352264,0.0268906597193215,3913.60330645211,3913.60330645211,3913.60330645211,3913.22764411152,3913.97904092535,6,6,6,6,6
7,0.0284844093931326,0.0284844093931326,0.0284844093931326,0.0284831764861642,0.0284856425516478,4565.77921043619,4565.77921043619,4565.77921043619,4565.26792088063,4566.29061452885,6,6,6,6,6
8,0.0300386038006553,0.0300386038006553,0.0300386038006553,0.0300370295939797,0.030040178378018,5217.92902894925,5217.92902894925,5217.92902894925,5217.26125957418,5218.59696928489,6,6,6,6,6
9,0.0315616947530135,0.0315616947530135,0.0315616947530135,0.0315597379209126,0.0315636521081175,5870.05276355627,5870.05276355627,5870.05276355627,5869.20766526034,5870.89810525609,6,6,6,6,6
10,0.0330604212548646,0.0330604212548646,0.0330604212548646,0.0330580400482095,0.0330628031743975,6522.15041582214,6522.15041582214,6522.15041582214,6521.10714300655,6523.19402250508,6,6,6,6,6
11,0.0345397984469733,0.0345397984469733,0.0345397984469733,0.0345369506611141,0.034542647177629,7174.22198731162,7174.22198731162,7174.22198731162,7172.95969787953,7175.48472109448,6,6,6,6,6
12,0.036003665241247,0.036003665241247,0.036003665241247,0.0360003081965143,0.036007023509323,7826.26747958933,7826.26747958933,7826.26747958933,7824.76533494527,7827.77020108693,6,6,6,6,6
13,0.0374550278852774,0.0374550278852774,0.0374550278852774,0.0374511184158723,0.0374589389078794,8478.28689421977,8478.28689421977,8478.28689421977,8476.52405926903,8480.05046254504,6,6,6,6,6
14,0.038896285141652,0.038896285141652,0.038896285141652,0.0388917795902924,0.0389007926321399,9130.28023276732,9130.28023276732,9130.28023276732,9128.23587591535,9132.32550553146,6,6,6,6,6
15,0.0403293812905565,0.0403293812905565,0.0403293812905565,0.0403242355071695,0.0403345294599398,9782.24749679623,9782.24749679623,9782.24749679623,9779.90078994801,9784.59533010879,6,6,6,6,6
16,0.0417559132799656,0.0417559132799656,0.0417559132799656,0.041750082623282,0.0417617468353935,10434.1886878706,10434.1886878706,10434.1886878706,10431.5188064301,10436.8599363397,6,6,6,6,6
17,0.0431772077196836,0.0431772077196836,0.0431772077196836,0.0431706470609449,0.0431837718608184,11086.1038075545,11086.1038075545,11086.1038075545,11083.089930424,11089.1193242867,6,6,6,6,6
18,0.0445943774463203,0.0445943774463203,0.0445943774463203,0.044587041174545,0.044601717860149,11737.9928574118,11737.9928574118,11737.9928574118,11734.6141669912,11741.3734940125,6,6,6,6,6
19,0.0460083638897946,0.0460083638897946,0.0460083638897946,0.0460002059182027,0.0460165267442787,12389.8558390062,12389.8558390062,12389.8558390062,12386.0915211927,12393.6224455798,6,6,6,6,6
20,0.0474199693484468,0.0474199693484468,0.0474199693484468,0.0474109431217515,0.0474290012853002,13041.6927539013,13041.6927539013,13041.6927539013,13037.5219980886,13045.866179051,6,6,6,6,6
21,0.0488298819489613,0.0488298819489613,0.0488298819489613,0.0488199404513128,0.0488398300757746,13693.5036036607,13693.5036036607,13693.5036036607,13688.9056027384,13698.1046944889,6,6,6,6,6
22,0.0502386952098395,0.0502386952098395,0.0502386952098395,0.0502277909732569,0.0502496070917117,14345.2883898477,14345.2883898477,14345.2883898477,14340.2423402008,14350.3379919561,6,6,6,6,6
23,0.0516469235610138,0.0516469235610138,0.0516469235610138,0.0516350086741824,0.0516588472118154,14997.0471140255,14997.0471140255,14997.0471140255,14991.5322155337,15002.5660715151,6,6,6,6,6
24,0.053055014790148,0.053055014790148,0.053055014790148,0.0530420409074876,0.053067998663511,15648.7797777574,15648.7797777574,15648.7797777574,15642.7752337943,15654.7889332287,6,6,6,6,6
25,0.0544633601232519,0.0544633601232519,0.0544633601232519,0.0544492784741823,0.0544774531033579,16300.4863826063,16300.4863826063,16300.4863826063,16293.9714000393,16307.0065771593,6,6,6,6,6
26,0.0558723024630655,0.0558723024630655,0.0558723024630655,0.055857063861412,0.0558875538552919,16952.166930135,16952.166930135,16952.166930135,16945.1207193243,16959.2190033697,6,6,6,6,6
27,0.0572821431775736,0.0572821431775736,0.0572821431775736,0.0572656980310686,0.0572986026990409,17603.8214219064,17603.8214219064,17603.8214219064,17596.2231967045,17611.4262119224,6,6,6,6,6
28,0.0586931477363153,0.0586931477363153,0.0586931477363153,0.0586754460561585,0.0587108655063709,18255.4498594831,18255.4498594831,18255.4498594831,18247.2788372342,18263.62820288,6,6,6,6,6
29,0.0601055504228233,0.0601055504228233,0.0601055504228233,0.0600865418332753,0.0601245769534917,18907.0522444275,18907.0522444275,18907.0522444275,18898.287645967,18915.8249763052,6,6,6,6,6
30,0.0615195583001461,0.0615195583001461,0.0615195583001461,0.0614991920481301,0.061539944486566,19558.628578302,19558.628578302,19558.628578302,19549.2496279558,19568.0165322605,6,6,6,6,6
31,0.0629353545678821,0.0629353545678821,0.0629353545678821,0.0629135795325781,0.0629571516787493,20210.178862669,20210.178862669,20210.178862669,20200.1647882527,20220.2028708087,6,6,6,6,6
32,0.0643531014199713,0.0643531014199713,0.0643531014199713,0.0643298661223865,0.0643763610880017,20861.7030990904,20861.7030990904,20861.7030990904,20851.0331319092,20872.3839920121,6,6,6,6,6
33,0.0657729424901596,0.0657729424901596,0.0657729424901596,0.0657481951026656,0.0657977167025843,21513.2012891284,21513.2012891284,21513.2012891284,21501.8546639759,21524.5598959336,6,6,6,6,6
34,0.0671950049548163,0.0671950049548163,0.0671950049548163,0.0671686933106417,0.0672213460439164,22164.6734343447,22164.6734343447,22164.6734343447,22152.6293895029,22176.7305826357,6,6,6,6,6
35,0.068619401349358,0.068619401349358,0.068619401349358,0.0685914729520305,0.068647361983049,22816.1195363013,22816.1195363013,22816.1195363013,22803.3573135393,22828.896052181,6,6,6,6,6
36,0.0700462311440015,0.0700462311440015,0.0700462311440015,0.0700166331767328,0.0700758643164716,23467.5395965596,23467.5395965596,23467.5395965596,23454.0384411338,23481.056304632,6,6,6,6,6
37,0.0714755821162347,0.0714755821162347,0.0714755821162347,0.071444261451244,0.0715069411386419,24118.9336166811,24118.9336166811,24118.9336166811,24104.6727773341,24133.2113400515,6,6,6,6,6
38,0.072907531550766,0.072907531550766,0.072907531550766,0.0728744347585372,0.072940670041999,24770.3015982273,24770.3015982273,24770.3015982273,24755.2603271873,24785.3611585019,6,6,6,6,6
39,0.074342147292391,0.074342147292391,0.074342147292391,0.074307220650862,0.0743771191698956,25421.6435427595,25421.6435427595,25421.6435427595,25405.8010957397,25437.505760046,6,6,6,6,6
40,0.0757794886729335,0.0757794886729335,0.0757794886729335,0.0757426781766141,0.0758163481436079,26072.9594518386,26072.9594518386,26072.9594518386,26056.2950880369,26089.6451447462,6,6,6,6,6
41,0.077219607329934,0.077219607329934,0.077219607329934,0.0771808586989513,0.0772584088810944,26724.2493270258,26724.2493270258,26724.2493270258,26706.7423091239,26741.7793126653,6,6,6,6,6
42,0.0786625479319265,0.0786625479319265,0.0786625479319265,0.0786218066209952,0.0787033463223447,27375.5131698819,27375.5131698819,27375.5131698819,27357.1427640448,27393.9082638657,6,6,6,6,6
43,0.0801083488228129,0.0801083488228129,0.0801083488228129,0.0800655600301313,0.0801511990738267,28026.7509819677,28026.7509819677,28026.7509819677,28007.4964578431,28046.0319984101,6,6,6,6,6
44,0.0815570425959306,0.0815570425959306,0.0815570425959306,0.0815121512719996,0.0816019999826282,28677.9627648438,28677.9627648438,28677.9627648438,28657.8033955614,28698.1505163612,6,6,6,6,6
45,0.0830086566068177,0.0830086566068177,0.0830086566068177,0.0829616074631836,0.0830557766492969,29329.1485200707,29329.1485200707,29329.1485200707,29308.0635822418,29350.2638177814,6,6,6,6,6
46,0.0844632134323632,0.0844632134323632,0.0844632134323632,0.084413950950283,0.0845125518870645,29980.3082492088,29980.3082492088,29980.3082492088,29958.2770229255,30002.3719027333,6,6,6,6,6
47,0.0859207312829207,0.0859207312829207,0.0859207312829207,0.0858691997219505,0.0859723441340365,30631.4419538183,30631.4419538183,30631.4419538183,30608.4437226531,30654.4747712796,6,6,6,6,6
48,0.0873812243730457,0.0873812243730457,0.0873812243730457,0.0873273677795516,0.0874351678240038,31282.5496354594,31282.5496354594,31282.5496354594,31258.5636864643,31306.5724234829,6,6,6,6,6
49,0.0888447032557304,0.0888447032557304,0.0888447032557304,0.0887884654713223,0.0889010337207533,31933.6312956921,31933.6312956921,31933.6312956921,31908.6369193984,31958.6648594058,6,6,6,6,6
50,0.0903111751243571,0.0903111751243571,0.0903111751243571,0.0902524997942447,0.0903699492200958,32584.6869360762,32584.6869360762,32584.6869360762,32558.6634264936,32610.7520791107,6,6,6,6,6
51,0.0917806440860268,0.0917806440860268,0.0917806440860268,0.0917194746672998,0.0918419186232697,33235.7165581715,33235.7165581715,33235.7165581715,33208.6432127876,33262.8340826604,6,6,6,6,6
52,0.093253111409451,0.093253111409451,0.093253111409451,0.0931893911792816,0.0933169433849078,33886.7201635376,33886.7201635376,33886.7201635376,33858.5762833173,33914.9108701174,6,6,6,6,6
53,0.0947285757501817,0.0947285757501817,0.0947285757501817,0.0946622478139507,0.0947950223383406,34537.6977537342,34537.6977537342,34537.6977537342,34508.462643119,34566.9824415443,6,6,6,6,6
54,0.0962070333556106,0.0962070333556106,0.0962070333556106,0.0961380406549586,0.0962761519006709,35188.6493303204,35188.6493303204,35188.6493303204,35158.3022972281,35219.0487970037,6,6,6,6,6
55,0.0976884782518711,0.0976884782518711,0.0976884782518711,0.0976167635726725,0.0977603262597489,35839.5748948556,35839.5748948556,35839.5748948556,35808.0952506792,35871.1099365581,6,6,6,6,6
56,0.0991729024145142,0.0991729024145142,0.0991729024145142,0.0990984083947773,0.0992475375449209,36490.474448899,36490.474448899,36490.474448899,36457.8415085066,36523.1658602702,6,6,6,6,6
